slug,title,category,internal_link_score,affiliate_relevance_score,revenue_opportunity,user_intent_match,tofu_mofu_bofu,overall_verdict,article_issues,notes
point-tsukaimichi,ポイ活で貯めたポイントの使い道は?節約につながる使い方を解説,shopping,20,65,NONE,85,MOFU,REVIEW,NO_AFFILIATE_NEEDED,本文発リンクが0件。point-toushi-toha・kikangentei-point-tsukaimichi等への内部リンク追加を推奨。
point-tsukanai-genin,ポイントが付かない原因まとめ!問い合わせ前に確認すべきこと,shopping,20,65,NONE,88,TOFU,REVIEW,NO_AFFILIATE_NEEDED,「ポイントが付かない原因」の情報提供記事でCTA不要は妥当。
point-unyou-toha,ポイント運用とは?投資との違いと初心者が知るべき注意点,shopping,60,70,NONE,88,TOFU,KEEP,NO_AFFILIATE_NEEDED,point-toushi-unyou-service-hikakuへの導線が的確。
point-yuukoukigen-kanri,ポイントの有効期限を管理する方法!失効を防ぐチェック習慣,shopping,60,70,NONE,88,TOFU,KEEP,NO_AFFILIATE_NEEDED,被リンク5件のハブ記事。kikangentei-point-5shu-hikakuへの導線は的確だが他の関連記事へのリンク追加余地あり。
ponta-kiso,Pontaポイントとは?貯め方・使い方・相性の良いサービスを解説,shopping,15,55,MEDIUM,85,TOFU,FIX_LOW,AFFILIATE_OPPORTUNITY_MEDIUM,本文発リンクが0件。同一バッチ内のlawson-ponta・au-uq-ponta・ponta-tsukaimichi・ponta-mile-koukanなど明らかに関連する記事への内部リンクが皆無で早急に追加すべき。au PAYカード等のアフィリエイト導線も検討余地あり。
ponta-mile-koukan,Pontaポイントをマイルや他社ポイントに交換する方法!使い道を広げるコツ,shopping,15,60,NONE,88,MOFU,FIX_LOW,NO_AFFILIATE_NEEDED,被リンク4件と評価が高いにもかかわらず本文発リンクが0件。ponta-kiso・jal-mile-tameru-kachiへの相互リンク追加を推奨。
ponta-supermarket,Pontaが貯まるスーパー一覧|使える店舗・地域スーパーも比較,shopping,80,60,LOW,90,MOFU,REVIEW,,内部リンク充実。net-super-poikatsuとの相互リンクがなく、追加すると比較記事群としての一貫性が高まる。
ponta-tsukaimichi,Pontaポイントのおすすめの使い道!ローソン・au・旅行で活用する方法,shopping,15,55,MEDIUM,85,MOFU,FIX_LOW,AFFILIATE_OPPORTUNITY_MEDIUM,本文発リンクが0件。ponta-kiso・ponta-mile-koukan・lawson-pontaへの内部リンク追加が容易。旅行での活用に言及があり旅行系ASPの活用余地もあり。
prepaid-card-poikatsu,プリペイドカードでポイ活する方法!使いすぎ防止にも役立つ活用術,shopping,10,55,MEDIUM,85,TOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,被リンク0件。プリペイドカードのASP提携があればCTA設置を検討。
qoo10-poikatsu,Qoo10でポイ活する方法!メガ割前に準備したいチェックリスト,shopping,10,55,MEDIUM,85,TOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,被リンク0件。Qoo10のASP提携があればCTA設置を検討。
qr-kessai-poikatsu,QRコード決済でポイントを貯める方法!支払い前のチェックポイント,shopping,55,75,NONE,85,TOFU,KEEP,NO_AFFILIATE_NEEDED,唯一の本文リンクは適切だがpaypay-point-kiso等の基礎記事への追加リンクが望ましい
rakuten-ana-mile-koukan,楽天ポイントをANAマイルに交換できる?交換ルートと注意点を解説,shopping,15,70,NONE,80,MOFU,REVIEW,NO_AFFILIATE_NEEDED,本文リンク0件。被リンクは3件あるが本記事からrakuten-poikatsu-kiso等への内部リンク追加が必要
rakuten-check-poikatsu,楽天チェックで来店ポイントを貯める方法!外出ついでに使う基本,shopping,10,70,NONE,78,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0・本文リンク0の孤立記事。関連するrakuten-poikatsu-kiso等からの内部リンクと本文内リンク追加が必要
rakuten-ichiba-kaimawari,楽天市場で買い回り前に確認すること,shopping,15,65,LOW,82,MOFU,REVIEW,,本文リンク0件。rakuten-ichiba-toha・rakuten-poikatsu-kisoへのリンク追加を推奨
rakuten-ichiba-toha,楽天市場とは?特徴とポイントの貯め方をわかりやすく解説,shopping,40,55,MEDIUM,88,BOFU,REVIEW,,被リンク196件の最重要ハブ記事だが本文リンクが0件でCTAも非アフィリエイトの公式直リンクのみ。アフィリエイトプログラムの有無を確認し提携リンク化を検討
rakuten-mobile-rakuten-point,楽天モバイルなら楽天ポイントにまとめるべき?楽天経済圏との相性を解説,shopping,90,70,LOW,90,MOFU,KEEP,,内部リンクが非常に充実した優良な比較記事
rakuten-pay-tameru,楽天ペイで楽天ポイントを貯める方法!街のお買い物で使うコツ,shopping,15,65,LOW,82,TOFU,REVIEW,,本文リンク0件。rakuten-ichiba-toha・rakuten-poikatsu-kisoへのリンク追加を推奨
rakuten-paypay-hikaku,楽天ポイントとPayPayポイントはどっち?通販・決済・カードで比較,shopping,85,70,LOW,90,MOFU,KEEP,,比較記事として内部リンクが充実
rakuten-poikatsu-kiso,楽天ポイントの貯め方を初心者向けに解説!楽天経済圏の基本,shopping,15,70,LOW,85,TOFU,REVIEW,,被リンク4件のハブ的記事だが本文リンク0件。rakuten-ichiba-toha等への追加を推奨
rakuten-point-supermarket,楽天ポイントが貯まるスーパー一覧|使える店舗・地域スーパーも比較,shopping,75,70,LOW,88,MOFU,KEEP,,TOCアンカーに加え../category/supermarketへのリンクが4回重複しやや冗長
rakuten-point-tsukaimichi,楽天ポイントの使い道おすすめまとめ!通常ポイントと期間限定ポイントの違い,shopping,15,70,NONE,82,TOFU,REVIEW,NO_AFFILIATE_NEEDED,本文リンク0件。rakuten-poikatsu-kiso等への追加を推奨
rakuten-rebates-poikatsu,楽天リーベイツでポイ活する方法!公式ストア利用時のポイント経由術,shopping,10,55,MEDIUM,80,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE,被リンク0・本文リンク0の孤立記事。ポイントサイト経由の申込を促す内容でCTA追加の余地もある
rakuten-yahoo-hikaku,楽天市場とYahoo!ショッピングはどっちがお得?ポイ活視点で比較,shopping,15,65,LOW,85,MOFU,REVIEW,,本文リンク0件。rakuten-ichiba-toha・yahoo-shopping-tohaへのリンク追加を推奨
recruit-ponta,リクルートサービスでPontaポイントを貯める方法!予約・買い物で活用,shopping,45,80,LOW,85,BOFU,FIX_LOW,ORPHAN_CANDIDATE,じゃらんCTAは的確だが被リンク0件で流入が乏しい。ponta-kiso等関連記事からのリンク追加が必要
rentacar-yoyaku-poikatsu,レンタカー予約でポイ活する方法!旅行前に確認したい支払いと補償,shopping,55,25,MEDIUM,85,MOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,旅行前の予約・補償という商業的意図が明確だがCTAが皆無、かつ被リンクも0件
ryokou-yoyaku-point,旅行予約でポイントを貯める方法!ホテル・航空券・予約サイト活用術,shopping,65,15,HIGH,88,MOFU,FIX_HIGH,AFFILIATE_OPPORTUNITY_HIGH,ホテル・航空券予約という強い商業意図の比較記事だがCTAが皆無。じゃらん等既存アフィリエイト案件へのCTA追加が急務
seims-point,ドラッグセイムスのポイントを解説|セイムスポイントカードと楽天ポイントの関係,shopping,55,75,NONE,85,TOFU,KEEP,NO_AFFILIATE_NEEDED,適切な内部リンク1件、公式情報ベースの情報提供記事
seiyu-poikatsu,西友でお得に買い物する方法!ネットスーパーと店舗利用のポイント,shopping,15,65,LOW,80,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE,被リンク0・本文リンク0。net-super-poikatsu等への追加を推奨
seven-eleven-point,セブン-イレブンでポイントを貯める方法!nanacoとアプリ活用の基本,shopping,15,70,NONE,80,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0・本文リンク0。関連記事への追加を推奨
sevennet-shopping-poikatsu,セブンネットショッピングとは?セブン‐イレブン受け取りで送料無料になる通販サイト,shopping,40,90,LOW,88,BOFU,FIX_LOW,ORPHAN_CANDIDATE,CTA2箇所は適切な配置と頻度だが被リンク0件で流入経路が乏しい
shein-poikatsu-chuuiten,SHEINでポイ活する時の注意点!海外通販で見るべき費用とポイント,shopping,15,30,MEDIUM,82,MOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,海外通販利用の注意点記事だがCTAなし・被リンクも0件。SHEINのアフィリエイトプログラムがあればCTA追加を検討
shinseikatsu-poikatsu-checklist,新生活のポイ活チェックリスト!家具・家電・日用品をお得にそろえる方法,shopping,40,85,LOW,85,BOFU,FIX_LOW,ORPHAN_CANDIDATE,アイリスプラザCTAは家具・日用品という主題と一致するが被リンク0件
shukuhaku-yoyaku-point,宿泊予約サイトでポイントを取りこぼさない方法!予約前の比較ポイント,shopping,80,15,HIGH,88,MOFU,FIX_HIGH,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,複数の宿泊予約サイトを比較する強い商業意図の記事だがCTAが皆無、かつ被リンクも0件。CTA追加が急務
softbank-ymobile-paypay-point,SoftBank・Y!mobileならPayPayポイント?相性の良いサービスを比較,shopping,90,70,LOW,90,MOFU,KEEP,,内部リンクが非常に充実した優良な比較記事
souryou-son-poikatsu,送料で損しないポイ活術!送料無料ラインとまとめ買いの考え方,shopping,15,70,NONE,82,TOFU,REVIEW,NO_AFFILIATE_NEEDED,本文リンク0件。jisshitsu-kakaku-keisan等への相互リンクを推奨
starbucks-poikatsu,スタバのポイント「Star」はどう貯まる?貯め方・交換先・有効期限を解説,shopping,65,75,NONE,88,TOFU,FIX_LOW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,本文リンクは概ね妥当だが被リンく0件で流入経路が乏しい
subscription-point-tameru,サブスク料金でポイントを貯める方法!動画・音楽・クラウドサービスの支払い術,shopping,60,70,LOW,85,MOFU,FIX_LOW,ORPHAN_CANDIDATE,LeminoCTAは動画サブスクという主題の一部に一致するが被リンク0件
sugi-point,スギ薬局のポイント制度!スギポイントの貯め方と使い方,shopping,55,75,NONE,85,TOFU,KEEP,NO_AFFILIATE_NEEDED,
suica-point-tameru,Suicaでポイントを貯める方法!JRE POINT登録から使い方まで解説,shopping,15,70,NONE,82,TOFU,REVIEW,NO_AFFILIATE_NEEDED,本文リンク0件。jre-point-kiso等への追加を推奨
sukairaku-group-poikatsu,すかいらーくグループでポイ活する方法!外食前のアプリ確認術,shopping,10,70,NONE,80,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0・本文リンク0の孤立記事。famiresu-cafe-point等への相互リンクが必要
sumaho-kessai-poikatsu,スマホ決済でポイ活する方法!PayPay・楽天ペイ・d払いの使い分け,shopping,50,70,LOW,85,TOFU,REVIEW,,paypay-point-kiso等の基礎記事への追加リンクが望ましい
super-point-tameru,スーパーでポイントを貯める方法!日用品の買い物を節約につなげるコツ,shopping,10,70,NONE,80,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0・本文リンク0の孤立記事。rakuten-point-supermarket等への相互リンクが必要
takashimaya-online-toha,高島屋オンラインストアとは?特徴とポイントの貯め方をわかりやすく解説,shopping,30,55,MEDIUM,85,BOFU,REVIEW,,CTAが非アフィリエイトの公式直リンク。提携プログラムの有無を確認し可能ならアフィリエイト化
takuhai-delivery-poikatsu,宅配・デリバリーでポイ活する方法!割引とポイントの使い分け,shopping,10,30,MEDIUM,82,MOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,被リンク0の孤立記事。デリバリーアプリのアフィリエイト案件があればCTA追加を検討
tsukin-teiki-koutsuhi-point,通勤定期・交通費でポイントを貯める方法!毎月の移動費を見直そう,shopping,10,70,NONE,80,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0・本文リンク0の孤立記事。suica-point-tameru等への相互リンクが必要
tsuruha-point,ツルハのポイント制度!ツルハポイントカードと楽天ポイントの併用,shopping,55,75,NONE,85,TOFU,KEEP,NO_AFFILIATE_NEEDED,
uniqlo-gu-point,ユニクロ・GUでポイントは貯まる?衣類購入でできる節約チェック,shopping,60,45,MEDIUM,82,MOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,ポイントサイト経由の活用を紹介しているがハピタス/モッピーの案件記事(CTA)への導線がなく被リンクも0件
v-point-supermarket,Vポイントが貯まるスーパー一覧|使える店舗・地域スーパーも比較,shopping,75,70,LOW,88,MOFU,KEEP,,../category/supermarketへのリンクがやや重複
visa-touch-poikatsu,Visaタッチ決済でポイ活する方法!対象店舗と支払い前の確認ポイント,shopping,15,70,NONE,80,TOFU,REVIEW,NO_AFFILIATE_NEEDED,本文リンク0件。code-kessai-4sha-hikaku等への追加を推奨
vpoint-kiso,Vポイントとは?旧Tポイントとの違いとポイ活での使い方,shopping,15,70,LOW,85,TOFU,REVIEW,,被リンク2件のハブ的記事だが本文リンク0件。vpoint-tameru-tsukau等への追加を推奨
vpoint-no-carrier,Vポイントと携帯キャリアの関係|ドコモ・au・ソフトバンクでも使える?,shopping,85,55,MEDIUM,88,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,三井住友カードとの相性を紹介しているがカード申込へのCTAがない
vpoint-rakuten-hikaku,Vポイントと楽天ポイントはどっちが使いやすい?生活圏別に比較,shopping,15,65,LOW,85,MOFU,REVIEW,,複数記事から参照されるハブだが本文リンク0件。vpoint-kiso等への追加を推奨
vpoint-tamaranai,Vポイントが貯まらない原因は?よくあるミスと確認ポイント,shopping,10,70,NONE,80,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0・本文リンク0の孤立記事。vpoint-kiso等への相互リンクが必要
vpoint-tameru-tsukau,Vポイントの貯め方と使い方!コンビニ・カード・アプリ活用術,shopping,15,70,NONE,82,TOFU,REVIEW,NO_AFFILIATE_NEEDED,本文リンク0件。vpoint-kiso等への追加を推奨
vpoint-tasha-koukan,Vポイントを他社ポイントへ交換する方法!交換先の選び方と注意点,shopping,15,70,NONE,85,MOFU,REVIEW,NO_AFFILIATE_NEEDED,被リンク3件のハブだが本文リンク0件。vpoint-kiso等への追加を推奨
waon-point-chigai,WAON POINTと電子マネーWAONポイントの違いは?初心者向けに整理,shopping,10,70,NONE,80,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0・本文リンク0の孤立記事。waon-point-kisoへの相互リンクが必要
waon-point-kiso,WAON POINTの貯め方を解説!イオンで得するポイ活の基本,shopping,10,70,NONE,82,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0・本文リンク0の孤立記事。waon-point-chigaiへの相互リンクが必要
welcia-point,ウエルシアのポイント制度!WAON POINT・Vポイントと「ウエル活」の仕組み,shopping,70,75,NONE,88,TOFU,KEEP,NO_AFFILIATE_NEEDED,
welkatsu-poikatsu,ウエル活とは?ドラッグストアでポイントを活用する基本と注意点,shopping,55,75,NONE,85,TOFU,KEEP,NO_AFFILIATE_NEEDED,welcia-pointへの相互リンクがあるとより良い
yachin-point-chuui,家賃支払いでポイントは貯まる?対応サービスと注意点を解説,shopping,10,65,LOW,80,TOFU,FIX_MEDIUM,ORPHAN_CANDIDATE,被リンク0・本文リンク0の孤立記事。関連記事へのリンク追加が必要
yahoo-shopping-paypay,Yahoo!ショッピングでPayPayポイントを貯める方法!買い物前のチェックリスト,shopping,10,15,HIGH,85,MOFU,FIX_HIGH,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,Yahoo!ショッピング利用が主題なのにyahoo-shopping-toha(アフィリエイトCTA有)へのリンクがなく機会損失。至急リンク・CTA追加を推奨
yahoo-shopping-toha,Yahoo!ショッピングとは?特徴とポイントの貯め方をわかりやすく解説,shopping,40,90,LOW,90,BOFU,KEEP,,被リンク185件の主要ハブ。CTA2箇所は適切
yodobashi-toha,ヨドバシ.comとは?特徴とポイントの貯め方をわかりやすく解説,shopping,40,55,MEDIUM,88,BOFU,REVIEW,,被リンク173件の主要ハブだがCTAが非アフィリエイト。提携プログラムの確認を推奨
zozotown-poikatsu,ZOZOTOWNでポイ活する方法!服を買う前に確認したい支払いと送料,shopping,10,15,HIGH,85,MOFU,FIX_HIGH,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,購入前チェックという商業意図の強い記事だがCTA・内部リンクが皆無かつ被リンクも0件。ZOZOTOWNのアフィリエイト案件があればCTA追加が急務
amefri-poikatsu,アメフリとは?すきま時間で貯まるポイントサイトの特徴を解説,pointsite,15,95,NONE,90,BOFU,KEEP,,自社レビュー記事としてCTAは適切。ただし本文中に内部リンクが0本で関連記事への導線がない。
browser-kakuchou-poikatsu,ブラウザ拡張機能でポイ活を便利にする方法!使いすぎない管理術,pointsite,10,100,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCountが0のため関連記事枠・人気記事枠への追加を推奨。
campaign-memo-tsukurikata,キャンペーンメモの作り方!エントリー忘れを減らすポイ活管理術,pointsite,10,100,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で他記事から一切リンクされていない。
cashless-fuan-poikatsu,キャッシュレスが不安な人向けポイ活!現金感覚で使うための管理方法,pointsite,10,100,NONE,84,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
chihou-zaijuu-poikatsu,地方在住者のポイ活術!使える店舗が少ない時のポイント活用法,pointsite,10,100,NONE,84,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
chobirich-poikatsu,ちょびリッチとは?評判・特徴からポイントの貯め方まで徹底解説,pointsite,15,95,NONE,90,BOFU,KEEP,,自社レビュー記事としてCTAは適切。本文内部リンクは0本。
chobirich-tsukaikata,ちょびリッチの使い方!ポイントサイト初心者が見るべき案件と交換先,pointsite,15,95,NONE,88,BOFU,REVIEW,ORPHAN_CANDIDATE,CTAは適切だが被リンクゼロ。ちょびリッチ本体記事や比較記事からの内部リンク追加を推奨。
ecnavi-poikatsu,ECナビとは?多彩な方法でポイントが貯まるポイントサイトの特徴を解説,pointsite,15,95,NONE,90,BOFU,KEEP,,自社レビュー記事としてCTAは適切。本文内部リンクは0本。
ecnavi-tsukaikata,ECナビでポイントを貯める方法!アンケートと買い物を組み合わせるコツ,pointsite,15,95,NONE,87,BOFU,REVIEW,ORPHAN_CANDIDATE,CTAは適切だが被リンクゼロ。ECナビ本体記事からの内部リンク追加を推奨。
entry-calendar-tsukurikata,エントリーカレンダーの作り方!毎月のポイ活予定を見える化する,pointsite,10,100,NONE,84,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
fuyoyotei-point-mieruka,付与予定ポイントの見える化術!反映待ちを忘れないチェック習慣,pointsite,10,100,NONE,83,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
gakusei-poikatsu,学生でもできるポイ活!お金をかけずに始める安全な方法,pointsite,10,45,MEDIUM,86,TOFU,FIX_MEDIUM,AFFILIATE_OPPORTUNITY_MEDIUM;ORPHAN_CANDIDATE,学生向けの開始ガイドだが、具体的なポイントサイトの紹介・CTAが無く機会損失。おすすめサイトへの誘導追加を検討。被リンクもゼロ。
gendama-poikatsu,げん玉とは?ポイントの貯め方・交換方法をわかりやすく解説,pointsite,15,88,NONE,88,BOFU,REVIEW,ORPHAN_CANDIDATE,CTAは適切だが1箇所のみ、かつ被リンクゼロ。記事末尾への2つ目のCTA追加と内部リンク獲得を推奨。
hajimeni-tameru-point,ポイ活初心者が最初に貯めるべきポイントはどれ?主要ポイントを比較,pointsite,10,45,MEDIUM,88,MOFU,FIX_MEDIUM,AFFILIATE_OPPORTUNITY_MEDIUM;ORPHAN_CANDIDATE,主要ポイント比較記事だが関連するクレジットカードや証券・ポイントサイト等への誘導が無い。比較先の案件記事へのリンク・CTA追加を検討。
hapitas-poikatsu,ハピタスとは?ポイント還元率・交換方法・登録方法をわかりやすく解説,pointsite,15,95,NONE,92,BOFU,KEEP,,自社レビュー記事としてCTAは適切。本文内部リンクは0本。
hapitas-tsukaikata,ハピタスの使い方を初心者向けに解説!案件選びとポイント交換の基本,pointsite,15,95,NONE,88,BOFU,REVIEW,ORPHAN_CANDIDATE,CTAは適切だが被リンクゼロ。ハピタス本体記事からの内部リンク追加を推奨。
hitorigurashi-poikatsu,一人暮らしのポイ活術!固定費と日用品をポイントで節約する方法,pointsite,10,65,LOW,85,TOFU,FIX_LOW,ORPHAN_CANDIDATE,一人暮らし向け節約Tips記事。具体的なポイントサイト紹介や関連記事への内部リンクがあるとより実用的。被リンクもゼロ。
hoken-soudan-anken-poikatsu,保険相談案件のポイ活とは?面談前に知っておきたいメリットと注意点,pointsite,90,20,HIGH,90,MOFU,FIX_HIGH,AFFILIATE_OPPORTUNITY_HIGH;ORPHAN_CANDIDATE,保険相談案件という高単価ジャンルを詳しく解説しているにもかかわらずアフィリエイトCTAが一切なく、hasDisclosureもfalse。該当案件を扱うポイントサイトへのCTA・PR表記追加を最優先で推奨。本文内部リンクは5本で質・関連性ともに良好。
ichinichi-10pun,ポイ活を1日10分で続ける方法!忙しい人向けの時短ルーティン,pointsite,10,100,NONE,84,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
isogashii-kaishain-shuumatsu-poikatsu,忙しい会社員の週末ポイ活ルーティン!平日に追わない管理方法,pointsite,10,100,NONE,83,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
kaigai-zaijuu-point-kanri,海外在住者が日本のポイントを管理する方法!帰国時に使う前提の考え方,pointsite,10,100,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
kaimono-nigate-poikatsu,買い物が苦手な人のポイ活術!比較しすぎずに得するシンプル運用,pointsite,10,65,LOW,84,TOFU,FIX_LOW,ORPHAN_CANDIDATE,シンプル運用Tips記事。具体的なポイントサイト紹介や関連記事への内部リンクの余地あり。被リンクもゼロ。
kazoku-account-poikatsu-chuui,家族アカウントでポイ活する時の注意点!規約確認とトラブル防止,pointsite,10,100,NONE,86,TOFU,REVIEW,ORPHAN_CANDIDATE,注意喚起系の情報提供記事でCTA不要。inboundCount0で被リンクなし。
kazoku-poikatsu,家族でポイ活する方法!ポイントをまとめて効率よく貯めるコツ,pointsite,10,45,MEDIUM,85,TOFU,FIX_MEDIUM,AFFILIATE_OPPORTUNITY_MEDIUM;ORPHAN_CANDIDATE,メインポイントの決め方に言及しているが具体的サービスへのCTAが無く機会損失。被リンクもゼロ。
keiyu-wasure-boushi,ポイントサイト経由忘れを防ぐ方法!買い物前チェックを習慣化するコツ,pointsite,10,100,NONE,85,TOFU,KEEP,,情報提供記事として妥当でCTA不要。被リンクは2本あり孤立していない。
kosodate-setai-poikatsu,子育て世帯のポイ活術!おむつ・ミルク・学用品をお得に買う方法,pointsite,10,65,LOW,84,TOFU,FIX_LOW,ORPHAN_CANDIDATE,子育て世帯向け節約Tips記事。関連ポイントサイトへの軽い誘導余地あり。被リンクもゼロ。
koteihi-sukunai-poikatsu,固定費が少ない人のポイ活術!少額支出でも効率よく貯める方法,pointsite,10,65,LOW,83,TOFU,REVIEW,,被リンクはあるが本文リンク・CTAともに無し。関連ポイントサイト記事への軽い誘導を検討可。
kurumanashi-seikatsu-poikatsu,車なし生活のポイ活術!交通・ネット通販・日用品で節約する方法,pointsite,10,65,LOW,84,TOFU,FIX_LOW,ORPHAN_CANDIDATE,車なし生活向け節約Tips記事。関連記事への内部リンクの余地あり。被リンクもゼロ。
minimalist-poikatsu,ミニマリスト向けポイ活!買わない生活でもポイントを活かす方法,pointsite,10,65,LOW,84,TOFU,FIX_LOW,ORPHAN_CANDIDATE,ミニマリスト向けTips記事。関連記事への内部リンクの余地あり。被リンクもゼロ。
moppy-hajimekata,モッピーでポイ活を始める方法!高還元案件を見る前の確認ポイント,pointsite,10,20,HIGH,89,BOFU,FIX_HIGH,AFFILIATE_OPPORTUNITY_HIGH,モッピー個別の開始方法解説記事(BOFU)なのにCTA・アフィリエイトリンクが皆無、hasDisclosureもfalse。最優先でモッピーへのCTA設置とPR表記追加を推奨。被リンクは2本あり孤立はしていない。
muryou-kaiin-touroku-poikatsu,無料会員登録案件でポイ活する方法とは?登録前後の確認ポイントを解説,pointsite,10,45,MEDIUM,84,TOFU,FIX_MEDIUM,AFFILIATE_OPPORTUNITY_MEDIUM;ORPHAN_CANDIDATE,無料会員登録案件の仕組み解説記事。具体的な案件・ポイントサイトへの誘導が無く機会損失。被リンクもゼロ。
nifty-point-club-poikatsu,ニフティポイントクラブの活用術!ネット利用者向けのポイ活基本,pointsite,10,20,HIGH,86,BOFU,FIX_HIGH,AFFILIATE_OPPORTUNITY_HIGH,特定サービス(ニフティポイントクラブ)の活用術記事(BOFU)だがCTAが皆無、hasDisclosureもfalse。優先的にCTA・PR表記追加を推奨。被リンクは1本あり。
poikatsu-demerit,ポイ活のデメリットとは?時間・個人情報・無駄買いのリスクを解説,pointsite,10,100,NONE,86,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
poikatsu-kakeibo,ポイ活を家計簿に活かす方法!ポイントを収入ではなく節約として管理する,pointsite,10,100,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
poikatsu-kiso,ポイ活とは?初心者が最初に知っておきたい仕組みと始め方,pointsite,15,100,NONE,90,TOFU,REVIEW,,4記事から被リンクのある基幹記事だが本文からのアウトバウンドリンクが0本。主要ポイントサイトレビュー記事への内部リンク追加で回遊性向上が見込める。
poikatsu-kojinjouhou-mamoru,ポイ活で個人情報を守る方法!登録前に確認したい安全チェック,pointsite,10,100,NONE,86,TOFU,KEEP,,注意喚起系の情報提供記事として妥当。CTA不要。被リンクも1本あり孤立していない。
poikatsu-kuchikomi-shinyou,ポイ活の口コミは信用できる?体験談を見る時のチェックポイント,pointsite,10,100,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
poikatsu-mail-tsuuchi-seiri,ポイ活メール通知の整理術!必要なキャンペーンだけ見逃さない方法,pointsite,45,100,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE,内部リンク2本はいずれも同一記事(専用メールアドレス記事)への重複。他の関連記事にも分散すると回遊性が向上。被リンクもゼロ。
poikatsu-minaoshi-timing,ポイ活の見直しタイミングはいつ?使わないサービスを整理する方法,pointsite,10,100,NONE,84,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
poikatsu-muki-fumuki,ポイ活で節約できる人・できない人の違い!向き不向きを解説,pointsite,10,100,NONE,84,TOFU,REVIEW,ORPHAN_CANDIDATE,情報提供記事でCTA不要。inboundCount0で被リンクなし。
poikatsu-nenkan-keikaku,ポイ活の年間計画を作る方法!セール時期と固定費を整理しよう,pointsite,15,25,MEDIUM,85,MOFU,FIX_MEDIUM,AFFILIATE_OPPORTUNITY_MEDIUM;ORPHAN_CANDIDATE,セール時期や固定費支払いの整理を扱う内容だが、具体的なポイントサイトへの内部リンク・CTAが皆無。被リンクも0件で孤立している。
